咪咕央卫,#genre#
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
CCTV4美洲,http://m.061899.xyz/mg/cctv4m
CCTV4欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx
CCTV1,http://106.53.99.30/tv/migu.php?id=cctv1
CCTV2,http://106.53.99.30/tv/migu.php?id=cctv2
CCTV3,http://106.53.99.30/tv/migu.php?id=cctv3
CCTV4,http://106.53.99.30/tv/migu.php?id=cctv4
CCTV4美洲,http://106.53.99.30/tv/migu.php?id=cctv4a
CCTV4欧洲,http://106.53.99.30/tv/migu.php?id=cctv4o
CCTV5,http://106.53.99.30/tv/migu.php?id=cctv5
CCTV5+,http://106.53.99.30/tv/migu.php?id=cctv5p
CCTV6,http://106.53.99.30/tv/migu.php?id=cctv6
CCTV7,http://106.53.99.30/tv/migu.php?id=cctv7
CCTV8,http://106.53.99.30/tv/migu.php?id=cctv8
CCTV9,http://106.53.99.30/tv/migu.php?id=cctv9
CCTV10,http://106.53.99.30/tv/migu.php?id=cctv10
CCTV11,http://106.53.99.30/tv/migu.php?id=cctv11
CCTV12,http://106.53.99.30/tv/migu.php?id=cctv12
CCTV13,http://106.53.99.30/tv/migu.php?id=cctv13
CCTV14,http://106.53.99.30/tv/migu.php?id=cctv14
CCTV15,http://106.53.99.30/tv/migu.php?id=cctv15
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV17,http://106.53.99.30/tv/migu.php?id=cctv17
CHC影迷电影,http://106.53.99.30/tv/migu.php?id=chcym
CHC家庭影院,http://106.53.99.30/tv/migu.php?id=chcjt
CHC动作电影,http://106.53.99.30/tv/migu.php?id=chcdz
东方卫视,http://106.53.99.30/tv/migu.php?id=dfws
重庆卫视,http://106.53.99.30/tv/migu.php?id=cqws
吉林卫视,http://106.53.99.30/tv/migu.php?id=jlws
辽宁卫视,http://106.53.99.30/tv/migu.php?id=lnws
内蒙古卫视,http://106.53.99.30/tv/migu.php?id=nmws
宁夏卫视,http://106.53.99.30/tv/migu.php?id=nxws
甘肃卫视,http://106.53.99.30/tv/migu.php?id=gsws
青海卫视,http://106.53.99.30/tv/migu.php?id=qhws
陕西卫视,http://106.53.99.30/tv/migu.php?id=sxws
山东卫视,http://106.53.99.30/tv/migu.php?id=sdws
河南卫视,http://106.53.99.30/tv/migu.php?id=hnws
湖北卫视,http://106.53.99.30/tv/migu.php?id=hubws
湖南卫视,http://106.53.99.30/tv/migu.php?id=hunws
江西卫视,http://106.53.99.30/tv/migu.php?id=jxws
江苏卫视,http://106.53.99.30/tv/migu.php?id=jsws
东南卫视,http://106.53.99.30/tv/migu.php?id=dnws
海峡卫视,http://106.53.99.30/tv/migu.php?id=hxws
广东卫视,http://106.53.99.30/tv/migu.php?id=gdws
大湾区卫视,http://106.53.99.30/tv/migu.php?id=dwqws
广西卫视,http://106.53.99.30/tv/migu.php?id=gxws
云南卫视,http://106.53.99.30/tv/migu.php?id=ynws
贵州卫视,http://106.53.99.30/tv/migu.php?id=gzws
新疆卫视,http://106.53.99.30/tv/migu.php?id=xjws
西藏卫视,http://106.53.99.30/tv/migu.php?id=xzws
海南卫视,http://106.53.99.30/tv/migu.php?id=hinws
北京卫视,http://124.222.114.206/bjtv.php?id=bjws
BRTV文艺,http://106.53.99.30/tv/hot.php?id=bjwy
BRTV科教,http://106.53.99.30/tv/hot.php?id=bjjs
BRTV影视,http://106.53.99.30/tv/hot.php?id=bjys
BRTV财经,http://106.53.99.30/tv/hot.php?id=bjcj
BRTV体育休闲,http://106.53.99.30/tv/hot.php?id=bjty
BRTV生活,http://106.53.99.30/tv/hot.php?id=bjsh
BRTV新闻,http://106.53.99.30/tv/hot.php?id=bjxw
卡酷少儿,http://106.53.99.30/tv/hot.php?id=bjkk
移动央卫,#genre#
CCTV1,http://39.135.32.24:6610/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV2,http://39.135.32.24:6610/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV3,http://39.135.32.24:6610/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV4,http://39.135.32.24:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV5,http://39.135.32.24:6610/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV5+,http://39.135.32.24:6610/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV6,http://39.135.32.24:6610/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV7,http://39.135.32.24:6610/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV8,http://39.135.32.24:6610/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV9,http://39.135.32.24:6610/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV10,http://39.135.32.24:6610/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV11,http://39.135.32.24:6610/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV12,http://39.135.32.24:6610/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV13,http://39.135.32.24:6610/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV14,http://39.135.32.24:6610/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV15,http://39.135.32.24:6610/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV16,http://39.135.32.24:6610/PLTV/77777777/224/3221225937/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV17,http://39.135.32.24:6610/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225719/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225872/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广东卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225666/index.m3u8?servicetype=1&IASHttpSessionId=OTT
大湾区卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225748/index.m3u8?servicetype=1&IASHttpSessionId=OTT
深圳卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1&IASHttpSessionId=OTT
江苏卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225722/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北京卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225651/index.m3u8?servicetype=1&IASHttpSessionId=OTT
浙江卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225731/index.m3u8?servicetype=1&IASHttpSessionId=OTT
上海卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1&IASHttpSessionId=OTT
辽宁卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225779/index.m3u8?servicetype=1&IASHttpSessionId=OTT
安徽卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225701/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河北卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225773/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑龙江卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225734/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖北卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225721/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225672/index.m3u8?servicetype=1&IASHttpSessionId=OTT
天津卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225675/index.m3u8?servicetype=1&IASHttpSessionId=OTT
甘肃卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225764/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225752/index.m3u8?servicetype=1&IASHttpSessionId=OTT
贵州卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225770/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225806/index.m3u8?servicetype=1&IASHttpSessionId=OTT
云南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225794/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225767/index.m3u8?servicetype=1&IASHttpSessionId=OTT
四川卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225757/index.m3u8?servicetype=1&IASHttpSessionId=OTT
重庆卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225745/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山西卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225785/index.m3u8?servicetype=1&IASHttpSessionId=OTT
内蒙古卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225751/index.m3u8?servicetype=1&IASHttpSessionId=OTT
西藏卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
吉林卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225678/index.m3u8?servicetype=1&IASHttpSessionId=OTT
陕西卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225754/index.m3u8?servicetype=1&IASHttpSessionId=OTT
青海卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225705/index.m3u8?servicetype=1&IASHttpSessionId=OTT
藏语卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225828/index.m3u8?servicetype=1&IASHttpSessionId=OTT
延边卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221226273/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225823/index.m3u8?servicetype=1&IASHttpSessionId=OTT
兵团卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225795/index.m3u8?servicetype=1&IASHttpSessionId=OTT
新疆卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225788/index.m3u8?servicetype=1&IASHttpSessionId=OTT
宁夏卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225782/index.m3u8?servicetype=1&IASHttpSessionId=OTT
四川卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=scws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901135&sign=2ca1ff327344e5a5908cb808a22848ea&ev=20250805
河南卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=haws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901118&sign=4caf7cf232629193e3a529feb08bce34&ev=20250805
安徽卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=ahws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901097&sign=1406a36b9a1034f29c4d761ce897b639&ev=20250805
黑龙江卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=hljws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901079&sign=6a3ed6e073fb4b3e23fed2fae863fde0&ev=20250805
河北卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=hews&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901073&sign=0605b776574a6015681743706dbe7637&ev=20250805
天津卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=tjws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901060&sign=e027222a2dc28aa4813387218021aac3&ev=20250805
北京卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=bjws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901055&sign=e74d2e975209b293c35fa2d32b705c3f&ev=20250805
深圳卫视,http://38.75.136.137:82/live1/xuexi.m3u8?id=szws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901053&sign=a27c2f1d830559d4b2e06330c0d3d3f1&ev=20250805
广东卫视,http://38.75.136.137:82/live2/gdtv.m3u8?id=gdws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901049&sign=349b6e53237ed344f2c66576d4005c19&ev=20250805
浙江卫视,http://38.75.136.137:82/live1/zjtv1.m3u8?id=zjws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901035&sign=5cc0939e60f3c878e1a637cd150e5da0&ev=20250805
山西卫视,http://38.75.136.137:82/live1/sxtv.m3u8?id=sxws&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758901014&sign=293f98d2d7432208c553c76cefaf0f70&ev=20250805
陕西卫视,http://38.75.136.137:82/live1/jsb.m3u8?id=snwshd&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758900995&sign=bb4352dcd18b108ceef77ff417cacbc8&ev=20250805
江西卫视,http://38.75.136.137:82/live2/jxtv.m3u8?id=jxwshd&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758900978&sign=200b47040d6b39ea65ee739171682f81&ev=20250805
东南卫视,http://38.75.136.137:82/live1/jsb.m3u8?id=dnwshd&app=cc.yftv.tvhd&version=1.0.0&mac=fu:ck:92:92:ff&nwtime=1758900975&sign=e1f670e16df990b853d38eb8b2c8d441&ev=20250805
江苏卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225722/index.m3u8?servicetype=1&IASHttpSessionId=OTT
浙江卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225731/index.m3u8servicetype=1&IASHttpSessionId=OTT
东方卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
广东卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225666/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
深圳卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
北京卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225651/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
天津卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225675/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
山东卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225672/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
湖北卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225721/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
黑龙江卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225734/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
河北卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225773/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
安微卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225701/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
辽宁卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225779/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
重庆卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225745/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
四川卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225757/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
广西卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225767/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
云南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225794/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
河南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225806/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
贵州卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225770/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
海南卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225752/index.m3u8?servicetype=1&IASHttpSessionId=OTT$移动专线
甘肃卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225764/index.m3u8servicetype=1&IASHttpSessionId=OTT
东南卫视,http://39.134.67.110/PLTV/88888888/224/3221225950/1.m3u8
吉林卫视,http://39.134.65.207/PLTV/88888888/224/3221225981/1.m3u8
甘肃卫视,http://39.135.32.24:6610/PLTV/77777777/224/3221225764/index.m3u8?servic
极速央卫,#genre#
CCTV1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0
